id,code,description
ae_sv_10408,10408,Servicio de fabricación de aceites y grasas de origen vegetal y animal a cambio de una retribución
ae_sv_10409,10409,Elaboración de aceites y grasas de origen vegetal y animal n.c.p.
ae_sv_10501,10501,Fabricación de productos lácteos excepto sorbetes quesos y sucedáneos no lácteos
ae_sv_10502,10502,Fabricación de sorbetes y helados
ae_sv_10503,10503,Fabricación de quesos
ae_sv_10509,10509,Fabricación de productos lácteos n.c.p.
ae_sv_10611,10611,Molienda de cereales y producción de harinas de cereales y otros granos
ae_sv_10612,10612,Elaboración de alimentos a base de cereales para el desayuno y similares
ae_sv_10613,10613,Producción y procesamiento de arroz (beneficio)
ae_sv_10618,10618,Servicio de molienda de cereales y granos para la producción de harina a cambio de una retribución
ae_sv_10619,10619,Elaboración de productos de molinería n.c.p.
ae_sv_10621,10621,Fabricación de almidón
ae_sv_10628,10628,Servicio de molienda de maíz en húmedo (molino para nixtamal) a cambio de una retribución
ae_sv_10629,10629,Elaboración de almidones y productos derivados del almidón n.c.p.
ae_sv_10711,10711,Elaboración de tortillas
ae_sv_10712,10712,Fabricación de pan galletas y barquillos
ae_sv_10713,10713,Fabricación de repostería
ae_sv_10719,10719,Fabricación de productos de panadería n.c.p.
ae_sv_10721,10721,Fabricación y refinación de azúcar de caña y otros subproductos (ingenios azucareros)
ae_sv_10722,10722,Molienda de caña de azúcar para la elaboración de dulce de panela y otros productos (trapiches)
ae_sv_10723,10723,Elaboración de jarabes de azúcar y otros similares
ae_sv_10728,10728,Servicio de fabricación de azúcar de caña a cambio de una retribución
ae_sv_10729,10729,Elaboración de azúcar n.c.p.
ae_sv_10731,10731,Elaboración de productos de dulcería y confitería
ae_sv_10732,10732,Elaboración de cacao manteca grasa y aceite de cacao
ae_sv_10733,10733,Elaboración de chocolate y productos de chocolate
ae_sv_10738,10738,Servicio de fabricación de cacao chocolate y productos de confitería a cambio de una retribución
ae_sv_10739,10739,Elaboración de cacao chocolate y productos de confitería n.c.p.
ae_sv_10740,10740,Fabricación de pastas alimenticias (fideos macarrones coditos pasta para lasaña)
ae_sv_10751,10751,Elaboración de pupusas tamales y otras comidas regionales para la reventa
ae_sv_10759,10759,Elaboración de comidas y platos preparados para la venta en supermercados n.c.p.
ae_sv_10791,10791,Elaboración de productos de café incluyendo descafeinado y tostado
ae_sv_10792,10792,Elaboración de especies sazonadores condimentos y sal yodada
ae_sv_10793,10793,Elaboración de sopas cremas y consomé
ae_sv_10794,10794,Fabricación de bocadillos tostados y/o fritos
ae_sv_10799,10799,Elaboración de otros productos alimenticios n.c.p.
ae_sv_10800,10800,Elaboración de piensos o alimentos preparados para animales
ae_sv_11010,11010,Fabricación de aguardiente y licores
ae_sv_11020,11020,Elaboración de vinos sidras rompope y otros similares
ae_sv_11030,11030,Fabricación de cerveza y otras bebidas a base de malta
ae_sv_11041,11041,Fabricación de gaseosas
ae_sv_11042,11042,Fabricación y envasado de agua purificada
ae_sv_11043,11043,Elaboración de refrescos
ae_sv_11048,11048,Servicio de fabricación de bebidas no alcohólicas y producción de aguas minerales embotelladas
ae_sv_11049,11049,Elaboración de bebidas no alcohólicas y producción de aguas minerales embotelladas n.c.p.
ae_sv_12000,12000,Elaboración de productos de tabaco
ae_sv_13111,13111,Preparación de fibras textiles
ae_sv_13112,13112,Fabricación de hilazas e hilos
ae_sv_13118,13118,Servicio de preparación e hilatura de fibras textiles a cambio de una retribución
ae_sv_13119,13119,Preparación e hilatura de fibras textiles n.c.p.
ae_sv_13121,13121,Fabricación de telas (excluye telas de punto o ganchillo)
ae_sv_13128,13128,Servicio de fabricación de tejedura de productos textiles a cambio de una retribución
ae_sv_13129,13129,Tejedura de productos textiles n.c.p.
ae_sv_13131,13131,Acabado de productos textiles (blanqueado teñido plisado encogimiento estampado)
ae_sv_13132,13132,Estampado serigráfico de productos textiles y prendas de vestir
ae_sv_13910,13910,Fabricación de tejidos de punto y ganchillo
ae_sv_13921,13921,Fabricación de productos textiles para el hogar
ae_sv_13922,13922,Fabricación de sacos bolsas y otros artículos textiles
ae_sv_13923,13923,Fabricación de ropa de cama toallas y cortinas
ae_sv_13929,13929,Fabricación de artículos confeccionados con materiales textiles n.c.p.
ae_sv_13930,13930,Fabricación de tapices y alfombras
ae_sv_13941,13941,Fabricación de cuerdas de henequén y otras fibras naturales
ae_sv_13942,13942,Fabricación de redes de diversos materiales
ae_sv_13948,13948,Servicio de fabricación de productos trenzables a cambio de una retribución
ae_sv_13949,13949,Fabricación de cuerdas cordeles bramantes y redes n.c.p.
ae_sv_13991,13991,Fabricación de adornos etiquetas y otros artículos para prendas de vestir
ae_sv_13993,13993,Fabricación de adornos y artículos para prendas de vestir bordados manualmente
ae_sv_13994,13994,Fabricación de artesanías de materiales textiles
ae_sv_13998,13998,Servicio de bordados en artículos y prendas de tela a cambio de una retribución
ae_sv_13999,13999,Fabricación de otros productos textiles n.c.p.
ae_sv_14101,14101,Fabricación de ropa interior para dormir y similares
ae_sv_14102,14102,Fabricación de ropa para niños
ae_sv_14103,14103,Fabricación de prendas de vestir para ambos sexos
ae_sv_14104,14104,Confección de prendas a medida
ae_sv_14105,14105,Fabricación de prendas de vestir para deportes
ae_sv_14106,14106,Fabricación de prendas de vestir artesanales de materiales textiles
ae_sv_14108,14108,Servicio de fabricación de prendas de vestir a cambio de una retribución
ae_sv_14109,14109,Fabricación de prendas de vestir excepto prendas de piel n.c.p.
ae_sv_14200,14200,Fabricación de prendas y accesorios de vestir de piel y otros artículos de piel
ae_sv_14301,14301,Fabricación de calcetines calcetas medias para mujer y otros similares
ae_sv_14302,14302,Fabricación de ropa interior de tejido de punto
ae_sv_14309,14309,Fabricación de artículos de punto o ganchillo n.c.p.
ae_sv_15110,15110,Curtido y adobo de cueros; adobo y teñido de pieles
ae_sv_15121,15121,Fabricación de maletas bolsos de mano y otros artículos de marroquinería
ae_sv_15122,15122,Fabricación de monturas accesorios y vainas (talabartería)
ae_sv_15123,15123,Fabricación de artesanías principalmente de cuero natural y sintético
ae_sv_15128,15128,Servicio de fabricación de artículos de cuero a cambio de una retribución
ae_sv_15129,15129,Fabricación de maletas bolsos de mano y artículos similares n.c.p.
ae_sv_15201,15201,Fabricación de calzado
ae_sv_15202,15202,Fabricación de partes y accesorios de calzado
ae_sv_15208,15208,Servicio de fabricación de calzado y partes de calzado a cambio de una retribución
ae_sv_16100,16100,Aserrado secado y acepilladura de madera
ae_sv_16210,16210,Fabricación de madera laminada compactada terciada enchapada y contrachapada
ae_sv_16220,16220,Fabricación de productos de madera utilizados principalmente para la industria de la construcción
ae_sv_16230,16230,Fabricación de envases y recipientes de madera
ae_sv_16292,16292,Fabricación de artesanías de madera semillas materiales trenzables
ae_sv_16299,16299,Fabricación de otros productos de madera corcho paja y materiales trenzables n.c.p.
ae_sv_17010,17010,Fabricación de pasta de madera papel y cartón
ae_sv_17020,17020,Fabricación de papel cartón ondulado envases de papel y envases de cartón
ae_sv_17091,17091,Fabricación de artículos de papel guata de celulosa y cartón de uso doméstico y de higiene
ae_sv_17098,17098,Servicio de fabricación de otros artículos del papel y cartón a cambio de una retribución
ae_sv_17099,17099,Fabricación de otros productos de papel y cartón n.c.p.
ae_sv_18110,18110,Impresión
ae_sv_18120,18120,Servicios relacionados con la impresión
ae_sv_18200,18200,Reproducción de grabaciones
ae_sv_19100,19100,Fabricación productos de hornos de coque
ae_sv_19201,19201,Fabricación de combustible
ae_sv_19202,19202,Fabricación de aceites y lubricantes
ae_sv_19203,19203,Fabricación de productos de asfalto y mezclas asfálticas
ae_sv_19209,19209,Fabricación de productos de la refinación del petróleo n.c.p.
ae_sv_20111,20111,Fabricación de materias primas para la fabricación de colorantes
ae_sv_20112,20112,Fabricación de materiales curtientes naturales y sintéticos
ae_sv_20113,20113,Fabricación de gases industriales
ae_sv_20114,20114,Fabricación de alcohol etílico
ae_sv_20118,20118,Servicio de fabricación de alcohol etílico y otras sustancias químicas básicas
ae_sv_20119,20119,Fabricación de sustancias químicas básicas n.c.p.
ae_sv_20121,20121,Fabricación de abonos y fertilizantes
ae_sv_20128,20128,Servicio de fabricación de abonos y fertilizantes
ae_sv_20129,20129,Fabricación de abonos y compuestos de nitrógeno n.c.p.
ae_sv_20130,20130,Fabricación de plástico caucho sintético y mezclas de hule en formas primarias
ae_sv_20210,20210,Fabricación de plaguicidas y otros productos químicos de uso agropecuario
ae_sv_20220,20220,Fabricación de pinturas barnices y productos de revestimiento similares
ae_sv_20231,20231,Fabricación de jabones detergentes y similares para limpiar y pulir
ae_sv_20232,20232,Fabricación de perfumes cosméticos preparados de tocador y cuidado personal
ae_sv_20233,20233,Fabricación de productos naturales para uso cosmético
ae_sv_20238,20238,Fabricación de jabones y detergentes a cambio de una retribución
ae_sv_20239,20239,Fabricación de jabones y detergentes perfumes y preparados de tocador n.c.p.
ae_sv_20291,20291,Fabricación de tintas y colores para escribir y pintar
ae_sv_20292,20292,Fabricación de explosivos cápsulas fulminantes para proyectiles dinamita detonadores
ae_sv_20293,20293,Fabricación de productos pirotécnicos
ae_sv_20299,20299,Fabricación de otros productos químicos n.c.p.
ae_sv_20300,20300,Fabricación de fibras artificiales
ae_sv_21001,21001,Fabricación de productos farmacéuticos y sustancias químicas medicinales
ae_sv_21002,21002,Fabricación de productos botánicos para uso farmacéutico
ae_sv_21008,21008,Servicio de fabricación de medicamentos a cambio de una retribución
ae_sv_21009,21009,Fabricación de productos farmacéuticos sustancias químicas medicinales y botánicos n.c.p.
ae_sv_22110,22110,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación
ae_sv_22190,22190,Fabricación de otros productos de caucho
ae_sv_22201,22201,Fabricación de artículos de plástico para el envasado de productos
ae_sv_22202,22202,Fabricación de artículos plásticos para uso del hogar o personal
ae_sv_22208,22208,Servicio de fabricación de productos plásticos a cambio de una retribución
ae_sv_22209,22209,Fabricación de productos plásticos n.c.p.
ae_sv_23101,23101,Fabricación de vidrio
ae_sv_23102,23102,Fabricación de recipientes y envases de vidrio
ae_sv_23108,23108,Servicio de fabricación de vidrio y productos de vidrio a cambio de una retribución
ae_sv_23109,23109,Fabricación de productos de vidrio n.c.p.
ae_sv_23910,23910,Fabricación de productos refractarios
ae_sv_23920,23920,Fabricación de productos de arcilla y adobe para la construcción
ae_sv_23930,23930,Fabricación de otros productos de porcelana y de cerámica
ae_sv_23940,23940,Fabricación de cemento cal y yeso
ae_sv_23950,23950,Fabricación de artículos de hormigón cemento y yeso
ae_sv_23960,23960,Corte talla y acabado de la piedra
ae_sv_23990,23990,Fabricación de productos minerales no metálicos n.c.p.
ae_sv_24100,24100,Industrias básicas de hierro y acero
ae_sv_24200,24200,Industrias básicas de metales preciosos y otros metales no ferrosos
ae_sv_24310,24310,Fundición de hierro y acero
ae_sv_24320,24320,Fundición de metales no ferrosos
ae_sv_25111,25111,Fabricación de productos metálicos para uso estructural
ae_sv_25118,25118,Servicio de fabricación de estructuras metálicas a cambio de una retribución
